epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13512.3,1.34724,0.91629,1.35907,0.84823,0.74833,0.80368,0.46835,1.4492,0.9066,1.39282,0.005842,0.005842,0.005842
44,13827.1,1.34999,0.91698,1.35463,0.8255,0.75598,0.79825,0.47132,1.44737,0.89723,1.38987,0.005743,0.005743,0.005743
45,14140.9,1.34296,0.9061,1.35153,0.82541,0.76008,0.79852,0.47154,1.41868,0.8881,1.38021,0.005644,0.005644,0.005644
46,14454.9,1.33431,0.90049,1.34214,0.84424,0.75215,0.79558,0.47122,1.42366,0.88804,1.37501,0.005545,0.005545,0.005545
47,14768.3,1.32958,0.90055,1.34412,0.83824,0.76459,0.80478,0.47119,1.42669,0.89186,1.37828,0.005446,0.005446,0.005446
48,15082.1,1.31035,0.87452,1.33421,0.86866,0.76364,0.8062,0.47014,1.44238,0.89375,1.39055,0.005347,0.005347,0.005347
49,15395.5,1.32265,0.87706,1.34028,0.82604,0.77248,0.80002,0.47491,1.42236,0.87367,1.36866,0.005248,0.005248,0.005248
50,15709.5,1.30901,0.86987,1.32913,0.82819,0.76746,0.80576,0.48029,1.41654,0.8837,1.37864,0.005149,0.005149,0.005149
51,16023.3,1.3142,0.87152,1.33643,0.80775,0.76794,0.80088,0.47378,1.41492,0.88277,1.36098,0.00505,0.00505,0.00505
52,16337.4,1.30621,0.85339,1.31904,0.8307,0.77005,0.81166,0.47671,1.42996,0.87738,1.35962,0.004951,0.004951,0.004951
53,16651,1.29892,0.85254,1.31837,0.84732,0.75941,0.80261,0.47679,1.42243,0.87415,1.37734,0.004852,0.004852,0.004852
54,16964.7,1.29187,0.84868,1.31571,0.83198,0.76077,0.80778,0.48189,1.40681,0.87048,1.36154,0.004753,0.004753,0.004753
55,17278.3,1.28826,0.85041,1.31618,0.84182,0.77225,0.80756,0.48652,1.40276,0.86291,1.37,0.004654,0.004654,0.004654
56,17592.2,1.2921,0.84122,1.31506,0.85389,0.75789,0.80251,0.47421,1.42767,0.84602,1.37414,0.004555,0.004555,0.004555
57,17905.9,1.27365,0.82616,1.30164,0.83829,0.78373,0.81172,0.48882,1.40749,0.83864,1.3703,0.004456,0.004456,0.004456
58,18219.8,1.26812,0.82466,1.30387,0.85915,0.76268,0.80701,0.47896,1.41831,0.85643,1.36958,0.004357,0.004357,0.004357
